id,nom_estab,raz_social,nombre_act,tipo_de_cliente,prioridad_venta,tamaño_empresa,potencial_de_compra,tiene_contacto,canal_preferido,telefono,correoelec,www,entidad,municipio,localidad,latitud,longitud
1769588,OFICINAS ADMINISTRATIVAS DE INVERNADEROS BONANZA 2001,INVERNADEROS BONANZA 2001 SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Corporativo,Alto,Sí,Correo,3318317508.0,PGARAY@BONANZAFRESH.COM,WWW.BONANZAFRESH.COM,Jalisco,AutlÃ¡n de Navarro,AutlÃ¡n de Navarro                                                                                             ,19.78298671,-104.35769163
6726612,BAJA PK,BAJA PK SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Corporativo,Alto,Sí,Correo,,MLOZANO@BAJAPK.COM.MX,,Baja California,Ensenada,Rodolfo SÃ¡nchez Taboada (Maneadero)                                                                           ,31.72484994,-116.5795982
9422130,HH AND SONS PRODUCE,H H AND SONS PRODUCE S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Corporativo,Alto,Sí,Correo,,JUAND@MTZPRODUCE.COM,,Baja California Sur,La Paz,San Luis                                                                                                      ,23.64984642,-110.27090464
9338118,CYLO ZAMORA,CYLO ZAMORA SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Corporativo,Alto,Sí,Correo,,CYLOZAMORA@GRUPOCYLO.MX,WWW.GRUPOCYLO.MX,Baja California,Ensenada,Ensenada                                                                                                      ,31.87668887,-116.6271403
6860591,SERVICIOS MUSCADET,SERVICIOS MUSCADET S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Corporativo,Alto,Sí,Correo,,ALRAMIREZ@SANTASWEETS.COM,,Sonora,Guaymas,Heroica Guaymas                                                                                               ,27.924036,-110.887867
8919780,AGUACATES LA BONANZA,AGUACATES LA BONANZA SA DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Muy Grande,Alto,Sí,Correo,4521492514.0,CONTADURIA2@LABONANZA.MX,WWW.LABONANZAAVOCADOS.COM,MichoacÃ¡n de Ocampo,Uruapan,El Durazno                                                                                                    ,19.36374278,-102.10134528
6876098,AGRÃCOLA TORUGOS,AGRICOLA TORUGOS SPR DE RL,Otros servicios relacionados con la agricultura,Agrícola,Alta,Muy Grande,Alto,Sí,Correo,,TORUGOS1@GMAIL.COM,,Sonora,Cajeme,Los Machochos                                                                                                 ,27.18623,-109.932272
8723396,PRODUCCION AGRICOLA HUERTA DE AGUACATE,,Otros servicios relacionados con la agricultura,Agrícola,Alta,Muy Grande,Alto,Sí,Correo,,MROJAS@AGUACATE.COM,,MichoacÃ¡n de Ocampo,Uruapan,Uruapan                                                                                                       ,19.39892801,-102.06828065
8370792,GRANOS Y HORTALIZAS QUIÃONEZ,GRANOS Y HORTALIZAS QUIÃONEZ SPR DE RI,Otros servicios relacionados con la agricultura,Agrícola,Alta,Muy Grande,Alto,Sí,Correo,,GRANOSYHORTALIZASQ@GMAIL.COM,,Sonora,Cajeme,Ciudad ObregÃ³n                                                                                                ,27.49057591,-109.946763
6811690,DESPACHO ADMINISTRATIVO AGRONOMINA ZAMORA,AGRONOMINA ZAMORA S DE RL DE CV,Otros servicios relacionados con la agricultura,Agrícola,Alta,Muy Grande,Alto,Sí,Correo,,GERENCIA.AGRONOMINA@GMAIL.COM,,MichoacÃ¡n de Ocampo,Zamora,Zamora de Hidalgo                                                                                             ,19.97559506,-102.29039489
